timestamp,mean_angleY,mean_angleZ,mean_flexAngle,min_flexAngle,max_flexAngle
2025-06-29T14:59:02.940Z,0.09,-55.56,5,0,25.2
2025-06-29T15:00:03.138Z,0.45,-54.08,5.5,0,33.3
2025-06-29T15:01:03.463Z,1.55,-65.76,4.7,0,38.7
2025-06-29T15:02:03.651Z,0.29,-54.07,3.3,0,5.4
2025-06-29T15:03:03.821Z,3.83,5.71,14.1,0,90
2025-06-29T15:04:04.100Z,5.97,-3.94,6.5,0,39.6
2025-06-29T15:05:16.724Z,0.38,-13.69,2.4,0.9,4.5
2025-06-30T15:58:07.108Z,-0.02,6.81,3.5,0,30.6
2025-06-30T15:59:08.232Z,-0.02,12.72,4.7,1.8,16.2
2025-06-30T16:00:08.556Z,0.02,19.25,1.7,0,9
2025-06-30T16:01:08.768Z,0,26.39,1.6,0,9
2025-06-30T16:02:10.057Z,0.93,31.66,21.6,0,90
2025-07-05T13:24:39.207Z,0.28,-51.96,11.9,0,16.2
2025-07-05T13:25:39.233Z,0.21,-41.6,2.4,0,34.2
2025-07-05T13:27:42.330Z,0.21,-56.1,2,0,13.5
2025-07-05T13:29:26.689Z,0.13,-0.04,6.1,0,60.3
2025-07-05T13:30:28.210Z,9.7,-1.08,4.3,0,48.6
2025-07-05T13:42:04.593Z,1.24,0.01,0.7,0,14.4
2025-07-05T13:43:04.670Z,8.67,1,3.2,0,38.7
2025-07-05T13:44:05.612Z,3.26,4.92,2.7,0.9,9
2025-07-05T13:46:34.516Z,-2.99,-0.22,4.7,0.9,21.6
2025-07-05T13:55:32.574Z,0.36,-4.11,1.4,0.9,1.8
2025-07-05T13:56:32.675Z,5.33,2.6,4.5,0,45
2025-07-05T13:57:32.905Z,6.5,0.34,2.7,0,14.4
2025-07-05T13:58:33.295Z,2.94,-5.01,5.8,0.9,90
2025-07-05T13:59:34.699Z,0.45,-5.23,2.7,0,26.1
2025-07-05T14:00:34.944Z,7.17,-1.49,2.4,0,19.8
2025-07-05T14:01:35.156Z,5.9,0.11,17.2,0,83.7
2025-07-05T14:10:07.343Z,-1.39,0.02,2,0,15.3
2025-07-05T14:11:07.381Z,2.75,0.97,5.3,0,42.3
2025-07-05T14:16:59.683Z,2.58,0.24,2.9,0,8.1
2025-07-05T14:19:31.414Z,-0.01,-0.03,1.8,0.9,2.7
2025-07-05T14:21:07.252Z,0.1,-0.04,1.4,0,2.7
2025-07-05T14:22:07.281Z,2.26,1.09,10.5,0,45
